Output format: module | schema name (class + field) | field offset
Schema: vphysics2.dll | PhysFeModelDesc_t->m_flDefaultGravityScale | 0X0005D8
Schema: vphysics2.dll | PhysFeModelDesc_t->m_flDefaultVelAirDrag | 0X0005DC
Schema: vphysics2.dll | PhysFeModelDesc_t->m_flDefaultExpAirDrag | 0X0005E0
Schema: vphysics2.dll | PhysFeModelDesc_t->m_flDefaultVelQuadAirDrag | 0X0005E4
Schema: vphysics2.dll | PhysFeModelDesc_t->m_flDefaultExpQuadAirDrag | 0X0005E8
Schema: vphysics2.dll | PhysFeModelDesc_t->m_flRodVelocitySmoothRate | 0X0005EC
Schema: vphysics2.dll | PhysFeModelDesc_t->m_flQuadVelocitySmoothRate | 0X0005F0
Schema: vphysics2.dll | PhysFeModelDesc_t->m_flAddWorldCollisionRadius | 0X0005F4
Schema: vphysics2.dll | PhysFeModelDesc_t->m_flDefaultVolumetricSolveAmount | 0X0005F8
Schema: vphysics2.dll | PhysFeModelDesc_t->m_nRodVelocitySmoothIterations | 0X0005FC
Schema: vphysics2.dll | PhysFeModelDesc_t->m_nQuadVelocitySmoothIterations | 0X0005FE
Schema: vphysics2.dll | FourVectors2D->x | 0X000000
Schema: vphysics2.dll | FourVectors2D->y | 0X000010
Schema: vphysics2.dll | FeEdgeDesc_t->nEdge | 0X000000
Schema: vphysics2.dll | FeEdgeDesc_t->nSide | 0X000004
Schema: vphysics2.dll | FeEdgeDesc_t->nVirtElem | 0X00000C
Schema: vphysics2.dll | OldFeEdge_t->m_flK | 0X000000
Schema: vphysics2.dll | OldFeEdge_t->invA | 0X00000C
Schema: vphysics2.dll | OldFeEdge_t->t | 0X000010
Schema: vphysics2.dll | OldFeEdge_t->flThetaRelaxed | 0X000014
Schema: vphysics2.dll | OldFeEdge_t->flThetaFactor | 0X000018
Schema: vphysics2.dll | OldFeEdge_t->c01 | 0X00001C
Schema: vphysics2.dll | OldFeEdge_t->c02 | 0X000020
Schema: vphysics2.dll | OldFeEdge_t->c03 | 0X000024
Schema: vphysics2.dll | OldFeEdge_t->c04 | 0X000028
Schema: vphysics2.dll | OldFeEdge_t->flAxialModelDist | 0X00002C
Schema: vphysics2.dll | OldFeEdge_t->flAxialModelWeights | 0X000030
Schema: vphysics2.dll | OldFeEdge_t->m_nNode | 0X000040
Schema: vphysics2.dll | FeWeightedNode_t->nNode | 0X000000
Schema: vphysics2.dll | FeWeightedNode_t->nWeight | 0X000002
Schema: vphysics2.dll | FeKelagerBend2_t->flWeight | 0X000000
Schema: vphysics2.dll | FeKelagerBend2_t->flHeight0 | 0X00000C
Schema: vphysics2.dll | FeKelagerBend2_t->nNode | 0X000010
Schema: vphysics2.dll | FeKelagerBend2_t->nReserved | 0X000016
Schema: vphysics2.dll | FeStiffHingeBuild_t->flMaxAngle | 0X000000
Schema: vphysics2.dll | FeStiffHingeBuild_t->flStrength | 0X000004
Schema: vphysics2.dll | FeStiffHingeBuild_t->flMotionBias | 0X000008
Schema: vphysics2.dll | FeStiffHingeBuild_t->nNode | 0X000014
Schema: vphysics2.dll | FeTri_t->nNode | 0X000000
Schema: vphysics2.dll | FeTri_t->w1 | 0X000008
Schema: vphysics2.dll | FeTri_t->w2 | 0X00000C
Schema: vphysics2.dll | FeTri_t->v1x | 0X000010
Schema: vphysics2.dll | FeTri_t->v2 | 0X000014
Schema: vphysics2.dll | FeSimdTri_t->nNode | 0X000000
Schema: vphysics2.dll | FeSimdTri_t->w1 | 0X000030
Schema: vphysics2.dll | FeSimdTri_t->w2 | 0X000040
Schema: vphysics2.dll | FeSimdTri_t->v1x | 0X000050
Schema: vphysics2.dll | FeSimdTri_t->v2 | 0X000060
Schema: vphysics2.dll | FeQuad_t->nNode | 0X000000
Schema: vphysics2.dll | FeQuad_t->flSlack | 0X000008
Schema: vphysics2.dll | FeQuad_t->vShape | 0X00000C
Schema: vphysics2.dll | FeNodeBase_t->nNode | 0X000000
Schema: vphysics2.dll | FeNodeBase_t->nDummy | 0X000002
Schema: vphysics2.dll | FeNodeBase_t->nNodeX0 | 0X000008
Schema: vphysics2.dll | FeNodeBase_t->nNodeX1 | 0X00000A
Schema: vphysics2.dll | FeNodeBase_t->nNodeY0 | 0X00000C
Schema: vphysics2.dll | FeNodeBase_t->nNodeY1 | 0X00000E
Schema: vphysics2.dll | FeNodeBase_t->qAdjust | 0X000010
Schema: vphysics2.dll | FeNodeWindBase_t->nNodeX0 | 0X000000
Schema: vphysics2.dll | FeNodeWindBase_t->nNodeX1 | 0X000002
Schema: vphysics2.dll | FeNodeWindBase_t->nNodeY0 | 0X000004
Schema: vphysics2.dll | FeNodeWindBase_t->nNodeY1 | 0X000006
Schema: vphysics2.dll | FeNodeReverseOffset_t->vOffset | 0X000000
Schema: vphysics2.dll | FeNodeReverseOffset_t->nBoneCtrl | 0X00000C
Schema: vphysics2.dll | FeNodeReverseOffset_t->nTargetNode | 0X00000E
Schema: vphysics2.dll | FeSimdQuad_t->nNode | 0X000000
Schema: vphysics2.dll | FeSimdQuad_t->f4Slack | 0X000020
Schema: vphysics2.dll | FeSimdQuad_t->vShape | 0X000030
Schema: vphysics2.dll | FeSimdQuad_t->f4Weights | 0X0000F0
Schema: vphysics2.dll | FeAxialEdgeBend_t->te | 0X000000
Schema: vphysics2.dll | FeAxialEdgeBend_t->tv | 0X000004
Schema: vphysics2.dll | FeAxialEdgeBend_t->flDist | 0X000008
Schema: vphysics2.dll | FeAxialEdgeBend_t->flWeight | 0X00000C
Schema: vphysics2.dll | FeAxialEdgeBend_t->nNode | 0X00001C
Schema: vphysics2.dll | FeBandBendLimit_t->flDistMin | 0X000000
Schema: vphysics2.dll | FeBandBendLimit_t->flDistMax | 0X000004
Schema: vphysics2.dll | FeBandBendLimit_t->nNode | 0X000008
Schema: vphysics2.dll | FeRodConstraint_t->nNode | 0X000000
Schema: vphysics2.dll | FeRodConstraint_t->flMaxDist | 0X000004
Schema: vphysics2.dll | FeRodConstraint_t->flMinDist | 0X000008
Schema: vphysics2.dll | FeRodConstraint_t->flWeight0 | 0X00000C
Schema: vphysics2.dll | FeRodConstraint_t->flRelaxationFactor | 0X000010
Schema: vphysics2.dll | FeTwistConstraint_t->nNodeOrient | 0X000000
Schema: vphysics2.dll | FeTwistConstraint_t->nNodeEnd | 0X000002
Schema: vphysics2.dll | FeTwistConstraint_t->flTwistRelax | 0X000004
Schema: vphysics2.dll | FeTwistConstraint_t->flSwingRelax | 0X000008
Schema: vphysics2.dll | FeSimdRodConstraint_t->nNode | 0X000000
Schema: vphysics2.dll | FeSimdRodConstraint_t->f4MaxDist | 0X000010
Schema: vphysics2.dll | FeSimdRodConstraint_t->f4MinDist | 0X000020
Schema: vphysics2.dll | FeSimdRodConstraint_t->f4Weight0 | 0X000030
Schema: vphysics2.dll | FeSimdRodConstraint_t->f4RelaxationFactor | 0X000040
Schema: vphysics2.dll | FeAnimStrayRadius_t->nNode | 0X000000
Schema: vphysics2.dll | FeAnimStrayRadius_t->flMaxDist | 0X000004
Schema: vphysics2.dll | FeAnimStrayRadius_t->flRelaxationFactor | 0X000008
Schema: vphysics2.dll | FeSimdAnimStrayRadius_t->nNode | 0X000000
Schema: vphysics2.dll | FeSimdAnimStrayRadius_t->flMaxDist | 0X000010
Schema: vphysics2.dll | FeSimdAnimStrayRadius_t->flRelaxationFactor | 0X000020
Schema: vphysics2.dll | FeSimdNodeBase_t->nNode | 0X000000
Schema: vphysics2.dll | FeSimdNodeBase_t->nNodeX0 | 0X000008
Schema: vphysics2.dll | FeSimdNodeBase_t->nNodeX1 | 0X000010
Schema: vphysics2.dll | FeSimdNodeBase_t->nNodeY0 | 0X000018
Schema: vphysics2.dll | FeSimdNodeBase_t->nNodeY1 | 0X000020
Schema: vphysics2.dll | FeSimdNodeBase_t->nDummy | 0X000028
Schema: vphysics2.dll | FeSimdNodeBase_t->qAdjust | 0X000030
Schema: vphysics2.dll | FeNodeIntegrator_t->flPointDamping | 0X000000
Schema: vphysics2.dll | FeNodeIntegrator_t->flAnimationForceAttraction | 0X000004
Schema: vphysics2.dll | FeNodeIntegrator_t->flAnimationVertexAttraction | 0X000008
Schema: vphysics2.dll | FeNodeIntegrator_t->flGravity | 0X00000C
Schema: vphysics2.dll | FeSpringIntegrator_t->nNode | 0X000000
Schema: vphysics2.dll | FeSpringIntegrator_t->flSpringRestLength | 0X000004
Schema: vphysics2.dll | FeSpringIntegrator_t->flSpringConstant | 0X000008
Schema: vphysics2.dll | FeSpringIntegrator_t->flSpringDamping | 0X00000C
Schema: vphysics2.dll | FeSpringIntegrator_t->flNodeWeight0 | 0X000010
Schema: vphysics2.dll | FeSimdSpringIntegrator_t->nNode | 0X000000
Schema: vphysics2.dll | FeSimdSpringIntegrator_t->flSpringRestLength | 0X000010
Schema: vphysics2.dll | FeSimdSpringIntegrator_t->flSpringConstant | 0X000020
Schema: vphysics2.dll | FeSimdSpringIntegrator_t->flSpringDamping | 0X000030
Schema: vphysics2.dll | FeSimdSpringIntegrator_t->flNodeWeight0 | 0X000040
Schema: vphysics2.dll | FeCtrlOffset_t->vOffset | 0X000000
Schema: vphysics2.dll | FeCtrlOffset_t->nCtrlParent | 0X00000C
Schema: vphysics2.dll | FeCtrlOffset_t->nCtrlChild | 0X00000E
Schema: vphysics2.dll | FeSoftParent_t->nParent | 0X000000
Schema: vphysics2.dll | FeSoftParent_t->flAlpha | 0X000004
Schema: vphysics2.dll | FeCtrlSoftOffset_t->nCtrlParent | 0X000000
Schema: vphysics2.dll | FeCtrlSoftOffset_t->nCtrlChild | 0X000002
Schema: vphysics2.dll | FeCtrlSoftOffset_t->vOffset | 0X000004
Schema: vphysics2.dll | FeCtrlSoftOffset_t->flAlpha | 0X000010
Schema: vphysics2.dll | FeCtrlOsOffset_t->nCtrlParent | 0X000000
Schema: vphysics2.dll | FeCtrlOsOffset_t->nCtrlChild | 0X000002
Schema: vphysics2.dll | FeFollowNode_t->nParentNode | 0X000000
Schema: vphysics2.dll | FeFollowNode_t->nChildNode | 0X000002
Schema: vphysics2.dll | FeFollowNode_t->flWeight | 0X000004
Schema: vphysics2.dll | FeCollisionSphere_t->nCtrlParent | 0X000000
Schema: vphysics2.dll | FeCollisionSphere_t->nChildNode | 0X000002
Schema: vphysics2.dll | FeCollisionSphere_t->m_flRFactor | 0X000004
Schema: vphysics2.dll | FeCollisionSphere_t->m_vOrigin | 0X000008
Schema: vphysics2.dll | FeCollisionSphere_t->flStickiness | 0X000014
Schema: vphysics2.dll | FeCollisionPlane_t->nCtrlParent | 0X000000
Schema: vphysics2.dll | FeCollisionPlane_t->nChildNode | 0X000002
Schema: vphysics2.dll | FeCollisionPlane_t->m_Plane | 0X000004
Schema: vphysics2.dll | FeCollisionPlane_t->flStickiness | 0X000014
Schema: vphysics2.dll | FeCollisionPlane_t->flStrength | 0X000018
Schema: vphysics2.dll | FeWorldCollisionParams_t->flWorldFriction | 0X000000
Schema: vphysics2.dll | FeWorldCollisionParams_t->flGroundFriction | 0X000004
Schema: vphysics2.dll | FeWorldCollisionParams_t->nListBegin | 0X000008
Schema: vphysics2.dll | FeWorldCollisionParams_t->nListEnd | 0X00000A
Schema: vphysics2.dll | FeTreeChildren_t->nChild | 0X000000
Schema: vphysics2.dll | FeTaperedCapsuleRigid_t->vSphere | 0X000000
Schema: vphysics2.dll | FeTaperedCapsuleRigid_t->flStickiness | 0X000020
Schema: vphysics2.dll | FeTaperedCapsuleRigid_t->nNode | 0X000024
Schema: vphysics2.dll | FeTaperedCapsuleRigid_t->nCollisionMask | 0X000026
Schema: vphysics2.dll | FeTaperedCapsuleRigid_t->nVertexMapIndex | 0X000028
Schema: vphysics2.dll | FeTaperedCapsuleRigid_t->nFlags | 0X00002A
Schema: vphysics2.dll | FeSphereRigid_t->vSphere | 0X000000
Schema: vphysics2.dll | FeSphereRigid_t->flStickiness | 0X000010
Schema: vphysics2.dll | FeSphereRigid_t->nNode | 0X000014
Schema: vphysics2.dll | FeSphereRigid_t->nCollisionMask | 0X000016
Schema: vphysics2.dll | FeSphereRigid_t->nVertexMapIndex | 0X000018
Schema: vphysics2.dll | FeSphereRigid_t->nFlags | 0X00001A
Schema: vphysics2.dll | FeTaperedCapsuleStretch_t->nNode | 0X000000
Schema: vphysics2.dll | FeTaperedCapsuleStretch_t->nCollisionMask | 0X000004
Schema: vphysics2.dll | FeTaperedCapsuleStretch_t->nDummy | 0X000006
Schema: vphysics2.dll | FeTaperedCapsuleStretch_t->flRadius | 0X000008
Schema: vphysics2.dll | FeTaperedCapsuleStretch_t->flStickiness | 0X000010
Schema: vphysics2.dll | FeBoxRigid_t->tmFrame2 | 0X000000
Schema: vphysics2.dll | FeBoxRigid_t->nNode | 0X000020
Schema: vphysics2.dll | FeBoxRigid_t->nCollisionMask | 0X000022
Schema: vphysics2.dll | FeBoxRigid_t->vSize | 0X000024
Schema: vphysics2.dll | FeBoxRigid_t->flStickiness | 0X000030
Schema: vphysics2.dll | FeBoxRigid_t->nVertexMapIndex | 0X000034
Schema: vphysics2.dll | FeBoxRigid_t->nFlags | 0X000036
Schema: vphysics2.dll | FeBoxRigid_t->flReserved | 0X000038
Schema: vphysics2.dll | CovMatrix3->m_vDiag | 0X000000
Schema: vphysics2.dll | CovMatrix3->m_flXY | 0X00000C
Schema: vphysics2.dll | CovMatrix3->m_flXZ | 0X000010
Schema: vphysics2.dll | CovMatrix3->m_flYZ | 0X000014
Schema: vphysics2.dll | FourCovMatrices3->m_vDiag | 0X000000
Schema: vphysics2.dll | FourCovMatrices3->m_flXY | 0X000030
Schema: vphysics2.dll | FourCovMatrices3->m_flXZ | 0X000040
Schema: vphysics2.dll | FourCovMatrices3->m_flYZ | 0X000050
Schema: vphysics2.dll | FeFitWeight_t->flWeight | 0X000000
Schema: vphysics2.dll | FeFitWeight_t->nNode | 0X000004
Schema: vphysics2.dll | FeFitWeight_t->nDummy | 0X000006
Schema: vphysics2.dll | FeFitInfluence_t->nVertexNode | 0X000000
Schema: vphysics2.dll | FeFitInfluence_t->flWeight | 0X000004
Schema: vphysics2.dll | FeFitInfluence_t->nMatrixNode | 0X000008
Schema: vphysics2.dll | FeFitMatrix_t->bone | 0X000000
Schema: vphysics2.dll | FeFitMatrix_t->vCenter | 0X000020
Schema: vphysics2.dll | FeFitMatrix_t->nEnd | 0X00002C
Schema: vphysics2.dll | FeFitMatrix_t->nNode | 0X00002E
Schema: vphysics2.dll | FeFitMatrix_t->nBeginDynamic | 0X000030
Schema: vphysics2.dll | FeRigidColliderIndices_t->m_nTaperedCapsuleRigidIndex | 0X000000
Schema: vphysics2.dll | FeRigidColliderIndices_t->m_nSphereRigidIndex | 0X000002
Schema: vphysics2.dll | FeRigidColliderIndices_t->m_nBoxRigidIndex | 0X000004
Schema: vphysics2.dll | FeRigidColliderIndices_t->m_nCollisionSphereIndex | 0X000006
Schema: vphysics2.dll | FeRigidColliderIndices_t->m_nCollisionPlaneIndex | 0X00000A
Schema: vphysics2.dll | FeBuildTaperedCapsuleRigid_t->m_nPriority | 0X000030
Schema: vphysics2.dll | FeBuildTaperedCapsuleRigid_t->m_nVertexMapHash | 0X000034
Schema: vphysics2.dll | FeBuildBoxRigid_t->m_nPriority | 0X000040
Schema: vphysics2.dll | FeBuildBoxRigid_t->m_nVertexMapHash | 0X000044
Schema: vphysics2.dll | FeBuildSphereRigid_t->m_nPriority | 0X000020
Schema: vphysics2.dll | FeBuildSphereRigid_t->m_nVertexMapHash | 0X000024
Schema: vphysics2.dll | FeSourceEdge_t->nNode | 0X000000
Schema: vphysics2.dll | FeEffectDesc_t->sName | 0X000000
Schema: vphysics2.dll | FeEffectDesc_t->nNameHash | 0X000008
Schema: vphysics2.dll | FeEffectDesc_t->nType | 0X00000C
Schema: vphysics2.dll | FeEffectDesc_t->m_Params | 0X000010
Schema: vphysics2.dll | FeVertexMapBuild_t->m_VertexMapName | 0X000000
Schema: vphysics2.dll | FeVertexMapBuild_t->m_nNameHash | 0X000008
Schema: vphysics2.dll | FeVertexMapBuild_t->m_Color | 0X00000C
Schema: vphysics2.dll | FeVertexMapBuild_t->m_flVolumetricSolveStrength | 0X000010
Schema: vphysics2.dll | FeVertexMapBuild_t->m_nScaleSourceNode | 0X000014
Schema: vphysics2.dll | FeVertexMapBuild_t->m_Weights | 0X000018
Schema: vphysics2.dll | CFeVertexMapBuildArray->m_Array | 0X000000
Schema: vphysics2.dll | FeProxyVertexMap_t->m_Name | 0X000000
Schema: vphysics2.dll | FeProxyVertexMap_t->m_flWeight | 0X000008
Schema: vphysics2.dll | FeVertexMapDesc_t->sName | 0X000000
Schema: vphysics2.dll | FeVertexMapDesc_t->nNameHash | 0X000008
Schema: vphysics2.dll | FeVertexMapDesc_t->nColor | 0X00000C
Schema: vphysics2.dll | FeVertexMapDesc_t->nFlags | 0X000010
Schema: vphysics2.dll | FeVertexMapDesc_t->nVertexBase | 0X000014
Schema: vphysics2.dll | FeVertexMapDesc_t->nVertexCount | 0X000016
Schema: vphysics2.dll | FeVertexMapDesc_t->nMapOffset | 0X000018
Schema: vphysics2.dll | FeVertexMapDesc_t->nNodeListOffset | 0X00001C
Schema: vphysics2.dll | FeVertexMapDesc_t->vCenterOfMass | 0X000020
Schema: vphysics2.dll | FeVertexMapDesc_t->flVolumetricSolveStrength | 0X00002C
Schema: vphysics2.dll | FeVertexMapDesc_t->nScaleSourceNode | 0X000030
Schema: vphysics2.dll | FeVertexMapDesc_t->nNodeListCount | 0X000032
Schema: vphysics2.dll | FeMorphLayerDepr_t->m_Name | 0X000000
Schema: vphysics2.dll | FeMorphLayerDepr_t->m_nNameHash | 0X000008
Schema: vphysics2.dll | FeMorphLayerDepr_t->m_Nodes | 0X000010
Schema: vphysics2.dll | FeMorphLayerDepr_t->m_InitPos | 0X000028
Schema: vphysics2.dll | FeMorphLayerDepr_t->m_Gravity | 0X000040
Schema: vphysics2.dll | FeMorphLayerDepr_t->m_GoalStrength | 0X000058
Schema: vphysics2.dll | FeMorphLayerDepr_t->m_GoalDamping | 0X000070
Schema: vphysics2.dll | FeMorphLayerDepr_t->m_nFlags | 0X000088
Schema: vphysics2.dll | CFeMorphLayer->m_Name | 0X000000
Schema: vphysics2.dll | CFeMorphLayer->m_nNameHash | 0X000008
Schema: vphysics2.dll | CFeMorphLayer->m_Nodes | 0X000010
Schema: vphysics2.dll | CFeMorphLayer->m_InitPos | 0X000028
Schema: vphysics2.dll | CFeMorphLayer->m_Gravity | 0X000040
Schema: vphysics2.dll | CFeMorphLayer->m_GoalStrength | 0X000058
Schema: vphysics2.dll | CFeMorphLayer->m_GoalDamping | 0X000070
Schema: vphysics2.dll | Dop26_t->m_flSupport | 0X000000
Schema: vphysics2.dll | RnSphere_t->m_vCenter | 0X000000
Schema: vphysics2.dll | RnSphere_t->m_flRadius | 0X00000C
Schema: vphysics2.dll | RnCapsule_t->m_vCenter | 0X000000
Schema: vphysics2.dll | RnCapsule_t->m_flRadius | 0X000018
Schema: vphysics2.dll | RnPlane_t->m_vNormal | 0X000000
Schema: vphysics2.dll | RnPlane_t->m_flOffset | 0X00000C
Schema: vphysics2.dll | RnHalfEdge_t->m_nNext | 0X000000
Schema: vphysics2.dll | RnHalfEdge_t->m_nTwin | 0X000001
Schema: vphysics2.dll | RnHalfEdge_t->m_nOrigin | 0X000002
Schema: vphysics2.dll | RnHalfEdge_t->m_nFace | 0X000003
Schema: vphysics2.dll | RnFace_t->m_nEdge | 0X000000
Schema: vphysics2.dll | CRegionSVM->m_Planes | 0X000000
Schema: vphysics2.dll | CRegionSVM->m_Nodes | 0X000018
Schema: vphysics2.dll | RnHull_t->m_vCentroid | 0X000000
Schema: vphysics2.dll | RnHull_t->m_flMaxAngularRadius | 0X00000C
Schema: vphysics2.dll | RnHull_t->m_Bounds | 0X000010
Schema: vphysics2.dll | RnHull_t->m_vOrthographicAreas | 0X000028
Schema: vphysics2.dll | RnHull_t->m_MassProperties | 0X000034
Schema: vphysics2.dll | RnHull_t->m_flVolume | 0X000064
Schema: vphysics2.dll | RnHull_t->m_Vertices | 0X000068
Schema: vphysics2.dll | RnHull_t->m_Edges | 0X000080
Schema: vphysics2.dll | RnHull_t->m_Faces | 0X000098
Schema: vphysics2.dll | RnHull_t->m_Planes | 0X0000B0
Schema: vphysics2.dll | RnHull_t->m_nFlags | 0X0000C8
Schema: vphysics2.dll | RnHull_t->m_pRegionSVM | 0X0000D0
Schema: vphysics2.dll | RnTriangle_t->m_nIndex | 0X000000
Schema: vphysics2.dll | RnWing_t->m_nIndex | 0X000000
Schema: vphysics2.dll | RnNode_t->m_vMin | 0X000000
Schema: vphysics2.dll | RnNode_t->m_nChildren | 0X00000C
Schema: vphysics2.dll | RnNode_t->m_vMax | 0X000010
Schema: vphysics2.dll | RnNode_t->m_nTriangleOffset | 0X00001C
Schema: vphysics2.dll | RnMesh_t->m_vMin | 0X000000
Schema: vphysics2.dll | RnMesh_t->m_vMax | 0X00000C
Schema: vphysics2.dll | RnMesh_t->m_Nodes | 0X000018
Schema: vphysics2.dll | RnMesh_t->m_Vertices | 0X000030
Schema: vphysics2.dll | RnMesh_t->m_Triangles | 0X000048
Schema: vphysics2.dll | RnMesh_t->m_Wings | 0X000060
Schema: vphysics2.dll | RnMesh_t->m_Materials | 0X000078
Schema: vphysics2.dll | RnMesh_t->m_vOrthographicAreas | 0X000090
Schema: vphysics2.dll | RnShapeDesc_t->m_nCollisionAttributeIndex | 0X000000
Schema: vphysics2.dll | RnShapeDesc_t->m_nSurfacePropertyIndex | 0X000004
Schema: vphysics2.dll | RnShapeDesc_t->m_UserFriendlyName | 0X000008
Schema: vphysics2.dll | RnSphereDesc_t->m_Sphere | 0X000010
Schema: vphysics2.dll | RnCapsuleDesc_t->m_Capsule | 0X000010
Schema: vphysics2.dll | RnHullDesc_t->m_Hull | 0X000010
Schema: vphysics2.dll | RnMeshDesc_t->m_Mesh | 0X000010
Schema: vphysics2.dll | RnSoftbodyParticle_t->m_flMassInv | 0X000000
Schema: vphysics2.dll | RnSoftbodySpring_t->m_nParticle | 0X000000
Schema: vphysics2.dll | RnSoftbodySpring_t->m_flLength | 0X000004
Schema: vphysics2.dll | RnSoftbodyCapsule_t->m_vCenter | 0X000000
Schema: vphysics2.dll | RnSoftbodyCapsule_t->m_flRadius | 0X000018
Schema: vphysics2.dll | RnSoftbodyCapsule_t->m_nParticle | 0X00001C
Schema: vphysics2.dll | RnBlendVertex_t->m_nWeight0 | 0X000000
Schema: vphysics2.dll | RnBlendVertex_t->m_nIndex0 | 0X000002
Schema: vphysics2.dll | RnBlendVertex_t->m_nWeight1 | 0X000004
Schema: vphysics2.dll | RnBlendVertex_t->m_nIndex1 | 0X000006
Schema: vphysics2.dll | RnBlendVertex_t->m_nWeight2 | 0X000008
Schema: vphysics2.dll | RnBlendVertex_t->m_nIndex2 | 0X00000A
Schema: vphysics2.dll | RnBlendVertex_t->m_nFlags | 0X00000C
Schema: vphysics2.dll | RnBlendVertex_t->m_nTargetIndex | 0X00000E
Schema: vphysics2.dll | CastSphereSATParams_t->m_vRayStart | 0X000000
Schema: vphysics2.dll | CastSphereSATParams_t->m_vRayDelta | 0X00000C
Schema: vphysics2.dll | CastSphereSATParams_t->m_flRadius | 0X000018
Schema: vphysics2.dll | CastSphereSATParams_t->m_flMaxFraction | 0X00001C
Schema: vphysics2.dll | CastSphereSATParams_t->m_flScale | 0X000020
Schema: vphysics2.dll | CastSphereSATParams_t->m_pHull | 0X000028
Schema: vphysics2.dll | VertexPositionNormal_t->m_vPosition | 0X000000
Schema: vphysics2.dll | VertexPositionNormal_t->m_vNormal | 0X00000C
Schema: vphysics2.dll | VertexPositionColor_t->m_vPosition | 0X000000
Schema: soundsystem.dll | CSosGroupActionSchema->m_name | 0X000008
Schema: soundsystem.dll | CSosGroupActionSchema->m_actionType | 0X000010
Schema: soundsystem.dll | CSosGroupActionSchema->m_actionInstanceType | 0X000014
Schema: soundsystem.dll | CSosGroupActionLimitSchema->m_nMaxCount | 0X000018
Schema: soundsystem.dll | CSosGroupActionLimitSchema->m_nStopType | 0X00001C
Schema: soundsystem.dll | CSosGroupActionLimitSchema->m_nSortType | 0X000020
Schema: soundsystem.dll | CSosGroupActionTimeLimitSchema->m_flMaxDuration | 0X000018
Schema: soundsystem.dll | CSosGroupBranchPattern->m_bMatchEventName | 0X000008
Schema: soundsystem.dll | CSosGroupBranchPattern->m_bMatchEventSubString | 0X000009
Schema: soundsystem.dll | CSosGroupBranchPattern->m_bMatchEntIndex | 0X00000A
Schema: soundsystem.dll | CSosGroupBranchPattern->m_bMatchOpvar | 0X00000B
Schema: soundsystem.dll | CSosGroupMatchPattern->m_matchSoundEventName | 0X000010
Schema: soundsystem.dll | CSosGroupMatchPattern->m_matchSoundEventSubString | 0X000018
Schema: soundsystem.dll | CSosGroupMatchPattern->m_flEntIndex | 0X000020
Schema: soundsystem.dll | CSosGroupMatchPattern->m_flOpvar | 0X000024
Schema: soundsystem.dll | CSosSoundEventGroupSchema->m_name | 0X000000
Schema: soundsystem.dll | CSosSoundEventGroupSchema->m_nType | 0X000008
Schema: soundsystem.dll | CSosSoundEventGroupSchema->m_bIsBlocking | 0X00000C
Schema: soundsystem.dll | CSosSoundEventGroupSchema->m_nBlockMaxCount | 0X000010
Schema: soundsystem.dll | CSosSoundEventGroupSchema->m_bInvertMatch | 0X000014
Schema: soundsystem.dll | CSosSoundEventGroupSchema->m_matchPattern | 0X000018
Schema: soundsystem.dll | CSosSoundEventGroupSchema->m_branchPattern | 0X000040
Schema: soundsystem.dll | CSosSoundEventGroupSchema->m_vActions | 0X0000B0
Schema: soundsystem.dll | CSosSoundEventGroupListSchema->m_groupList | 0X000000
Schema: soundsystem.dll | SosEditItemInfo_t->itemType | 0X000000
Schema: soundsystem.dll | SosEditItemInfo_t->itemName | 0X000008
Schema: soundsystem.dll | SosEditItemInfo_t->itemTypeName | 0X000010
Schema: soundsystem.dll | SosEditItemInfo_t->itemKVString | 0X000020
Schema: soundsystem.dll | SosEditItemInfo_t->itemPos | 0X000028
Schema: soundsystem.dll | SelectedEditItemInfo_t->m_EditItems | 0X000000
Schema: soundsystem.dll | CSoundEventMetaData->m_soundEventVMix | 0X000000
Schema: soundsystem.dll | CDSPMixgroupModifier->m_mixgroup | 0X000000
Schema: soundsystem.dll | CDSPMixgroupModifier->m_flModifier | 0X000008
Schema: soundsystem.dll | CDSPMixgroupModifier->m_flModifierMin | 0X00000C
Schema: soundsystem.dll | CDSPMixgroupModifier->m_flSourceModifier | 0X000010
Schema: soundsystem.dll | CDSPMixgroupModifier->m_flSourceModifierMin | 0X000014
Schema: soundsystem.dll | CDSPMixgroupModifier->m_flListenerReverbModifierWhenSourceReverbIsActive | 0X000018
Schema: soundsystem.dll | CDspPresetModifierList->m_dspName | 0X000000
Schema: soundsystem.dll | CDspPresetModifierList->m_modifiers | 0X000008
Schema: soundsystem.dll | CDSPPresetMixgroupModifierTable->m_table | 0X000000
Schema: soundsystem.dll | VMixFilterDesc_t->m_nFilterType | 0X000000
Schema: soundsystem.dll | VMixFilterDesc_t->m_nFilterSlope | 0X000002
Schema: soundsystem.dll | VMixFilterDesc_t->m_bEnabled | 0X000003
Schema: soundsystem.dll | VMixFilterDesc_t->m_fldbGain | 0X000004
Schema: soundsystem.dll | VMixFilterDesc_t->m_flCutoffFreq | 0X000008
Schema: soundsystem.dll | VMixFilterDesc_t->m_flQ | 0X00000C
Schema: soundsystem.dll | VMixEQ8Desc_t->m_stages | 0X000000
Schema: soundsystem.dll | VMixDelayDesc_t->m_feedbackFilter | 0X000000
Schema: soundsystem.dll | VMixDelayDesc_t->m_bEnableFilter | 0X000010
